index,name,seed,status,box_size,model1.intensity,model1.radius,model2.intensity,model2.min_r1,model2.max_r1,model3.intensity,model3.radius,n_points,n_final,n_removed_floaters,n_closed_voxels,n_filled_voxels,filler_fraction,phr,spheres_npz,voxel_npz
100,phr_71.51_id101,1100,skipped,3.0,250.0,0.1,5,0.25,0.5,1.8,0.4,6662,1998,65,14992,0,0.26765768035609305,71.50727961707219,,
101,phr_49.39_id102,1101,skipped,3.0,250.0,0.1,5,0.25,0.5,1.8,0.4,6839,1533,77,10397,0,0.20155010857958705,49.38784176656976,,
102,phr_56.06_id103,1102,skipped,3.0,250.0,0.1,5,0.25,0.5,1.8,0.4,6703,1664,59,11547,0,0.22271013049546684,56.05852191495924,,
103,phr_74.26_id104,1103,skipped,3.0,250.0,0.1,5,0.25,0.5,1.8,0.4,6645,2010,56,15954,0,0.2751362743804165,74.26362818590704,,
104,phr_52.20_id105,1104,skipped,3.0,250.0,0.1,5,0.25,0.5,1.8,0.4,6764,1592,78,10553,0,0.21060840561974348,52.19968479169489,,
105,phr_73.91_id106,1105,skipped,3.0,250.0,0.1,5,0.25,0.5,1.8,0.4,6760,2027,80,15619,0,0.2741884525709167,73.91115090049568,,
106,phr_59.52_id107,1106,skipped,3.0,250.0,0.1,5,0.25,0.5,1.8,0.4,6747,1791,99,12009,0,0.23326814558862935,59.52461675681597,,
107,phr_50.34_id108,1107,skipped,3.0,250.0,0.1,5,0.25,0.5,1.8,0.4,6722,1578,73,10689,0,0.20463352889656744,50.337795517790255,,
108,phr_55.27_id109,1108,skipped,3.0,250.0,0.1,5,0.25,0.5,1.8,0.4,6841,1668,68,11492,0,0.22025859138481965,55.267133117888044,,
109,phr_55.16_id110,1109,skipped,3.0,250.0,0.1,5,0.25,0.5,1.8,0.4,6786,1679,86,11115,0,0.21991065679652225,55.155218365368604,,
110,phr_54.74_id111,1110,skipped,3.0,250.0,0.1,5,0.25,0.5,1.8,0.4,6615,1652,68,11189,0,0.21861490039872503,54.73930912506517,,
111,phr_56.92_id112,1111,skipped,3.0,250.0,0.1,5,0.25,0.5,1.8,0.4,6622,1699,79,11829,0,0.22534963426875748,56.91618798058934,,
112,phr_52.83_id113,1112,skipped,3.0,250.0,0.1,5,0.25,0.5,1.8,0.4,6608,1595,72,10894,0,0.21259603194599416,52.82533172688777,,
113,phr_63.11_id114,1113,skipped,3.0,250.0,0.1,5,0.25,0.5,1.8,0.4,6785,1875,88,12214,0,0.24390214639647748,63.11350433954715,,
114,phr_60.40_id115,1114,skipped,3.0,250.0,0.1,5,0.25,0.5,1.8,0.4,6653,1790,60,12037,0,0.23589165236935455,60.40074648721602,,
115,phr_50.95_id116,1115,skipped,3.0,250.0,0.1,5,0.25,0.5,1.8,0.4,6727,1569,84,10176,0,0.20661715597467675,50.95282314030677,,
116,phr_71.03_id117,1116,skipped,3.0,250.0,0.1,5,0.25,0.5,1.8,0.4,6819,2073,54,13572,0,0.2663339292213064,71.02524474607957,,
117,phr_51.10_id118,1117,skipped,3.0,250.0,0.1,5,0.25,0.5,1.8,0.4,6685,1582,65,9872,0,0.20707706951093194,51.09585971030866,,
118,phr_62.85_id119,1118,skipped,3.0,250.0,0.1,5,0.25,0.5,1.8,0.4,6816,1855,55,12568,0,0.24312629225705568,62.8482494884951,,
119,phr_62.57_id120,1119,skipped,3.0,250.0,0.1,5,0.25,0.5,1.8,0.4,6652,1806,74,12809,0,0.2423104456362204,62.56990765878131,,
